number,category
6967617673,not spam
7717397183,not spam
9232005735,spam
6076672395,not spam
9400295672,not spam
9330644572,not spam
9798872803,not spam
7650461751,not spam
9198301858,spam
9276783256,not spam
6715957397,not spam
6716783971,not spam
8108953755,not spam
7052307852,not spam
7890945185,spam
9872224761,not spam
9575908824,not spam
6459452892,not spam
9075789536,not spam
9885164713,not spam
8771663729,not spam
7221540173,spam
8888543733,not spam
8373496153,not spam
9020093145,spam
6650008125,not spam
8120907688,not spam
8793736859,spam
7879152697,not spam
9638796378,not spam
9011174026,not spam
8311805889,not spam
8760010359,spam
6483159637,not spam
6907445892,not spam
8512499874,not spam
7621813776,not spam
6058262854,not spam
6884709187,not spam
6971809174,not spam
8971807532,not spam
7959131053,spam
8465648604,not spam
9876291055,not spam
7513111400,spam
7533094118,not spam
9499900597,not spam
6222115038,spam
7581360032,not spam
7180323233,not spam
9038662647,not spam
9998287780,not spam
9552660518,spam
9967806452,not spam
6838216355,spam
9467961142,not spam
6726826476,spam
9543672689,spam
7053427632,not spam
8014036818,not spam
8399420613,spam
7569465220,not spam
8979155523,not spam
6976593732,not spam
8656688516,not spam
8186628420,spam
8591133847,not spam
9453153941,not spam
7142727866,spam
7828396888,not spam
9901680074,not spam
8500050495,not spam
6942162498,not spam
7065581524,spam
8928305748,not spam
8361213018,not spam
8410173296,spam
8857240514,not spam
6814581871,spam
9188824539,not spam
9861047270,not spam
9819994082,not spam
6558956852,spam
9176411033,not spam
7365227144,not spam
9421977137,not spam
6510885512,spam
7245947077,spam
6130938652,not spam
6433555622,spam
7654192418,not spam
6021754022,spam
8652627783,not spam
6522939550,not spam
8533506871,not spam
9610071999,not spam
6496370431,not spam
7998345923,spam
9969960299,not spam
9126888156,not spam
6596838856,not spam
7023846130,spam
9338678580,not spam
7097930467,not spam
8086943013,spam
7335782748,not spam
9365201302,not spam
8983644970,not spam
6122582661,not spam
8016057613,not spam
7424532657,not spam
8232930229,not spam
9113476539,not spam
7360139641,not spam
7574543308,not spam
8196427842,not spam
8187289428,not spam
7731912480,not spam
9893153125,not spam
9980995258,not spam
9206174138,not spam
8542854628,spam
6545594480,not spam
7043952324,spam
8580721556,spam
7021429065,not spam
9287362126,not spam
6167982129,not spam
7602826836,spam
9992770249,spam
6658386151,not spam
6979086508,not spam
9074643712,not spam
6932731572,not spam
6080915281,not spam
6947067632,not spam
7583356101,not spam
7933424285,spam
7107556602,not spam
8154705997,not spam
6062246221,not spam
8250334644,not spam
7811209372,spam
6984210415,spam
6149231355,spam
8912259705,spam
9707535390,not spam
6086657292,not spam
9131792273,not spam
9839638661,spam
6488654336,not spam
9465362375,not spam
7091401318,spam
8769540292,spam
7374724849,not spam
8101901343,not spam
6963568082,not spam
7938939438,not spam
7110184658,not spam
8710345991,not spam
8525577743,not spam
8770247414,not spam
8989863234,not spam
7947228333,spam
7449562847,not spam
8269626475,not spam
9710442836,not spam
8310185299,spam
7093320582,not spam
8255685977,not spam
8064857513,not spam
8267088879,not spam
9546453895,not spam
8762525884,spam
6594190311,not spam
6012380132,not spam
6667965825,spam
8671066531,spam
9163779605,not spam
7620781883,not spam
7591551515,not spam
6823495254,not spam
7963143430,spam
6406415960,not spam
6834294648,spam
8284986665,not spam
8938044081,not spam
7896370414,not spam
7533899008,not spam
9375303992,not spam
6178172883,spam
8620050390,spam
6003165199,not spam
9130987375,not spam
6003522310,not spam
6962021846,not spam
9575035541,spam
7669592853,spam
7223121615,not spam
9959402822,not spam
7763924817,spam
8314505075,not spam
6125857895,spam
6679978026,not spam
9352136670,not spam
9903375398,not spam
6505714723,not spam
7957076268,not spam
7296578254,spam
9971893422,not spam
8090459246,spam
6747871575,not spam
8855359266,not spam
7988890578,not spam
9777663624,not spam
9338173704,not spam
6044359541,not spam
7334227132,not spam
8487437609,not spam
6365250016,not spam
6769881790,spam
7583852833,not spam
9718343843,not spam
7672352365,spam
7734137557,not spam
8482512354,spam
6628057170,not spam
9033975264,not spam
9819124256,spam
7343509972,not spam
7525013594,not spam
8762684513,not spam
7331591090,not spam
9236419208,not spam
9534274425,not spam
8268899551,not spam
8783971514,not spam
9517123644,not spam
9316540589,not spam
8556686863,not spam
8708598691,spam
6261344384,spam
7050705121,spam
7770440815,not spam
7430114477,not spam
7130332284,not spam
9407410432,not spam
8569626323,not spam
7117303583,not spam
8634480383,not spam
7028118817,not spam
9739797923,spam
8712426517,not spam
6538048882,spam
9302625662,spam
6021590357,not spam
9192393297,not spam
7977056783,not spam
9418190393,not spam
8586616050,not spam
8516086163,not spam
6281104282,not spam
7481211469,not spam
9465914718,not spam
6856928229,not spam
7494203459,not spam
8483175620,not spam
9493575504,not spam
7141911044,not spam
6739697699,not spam
6393463132,spam
8165946890,not spam
8127069418,spam
6018206730,spam
8480474233,not spam
9032695848,not spam
7777487485,spam
8242242805,not spam
7725693066,not spam
9277640100,spam
7929827562,not spam
7224723227,not spam
8305952148,spam
8297718377,not spam
9395223376,spam
8383701269,spam
7436282344,spam
8455589516,spam
9988830526,not spam
7299259910,not spam
8573570476,not spam
8522052649,spam
9236576509,not spam
6004546821,spam
8127790266,not spam
8276788364,not spam
6983913510,spam
9493247262,not spam
9737635625,spam
8670587977,spam
6677641844,not spam
6814450002,spam
7017782288,not spam
6411483633,spam
9493633280,spam
9083176969,not spam
8727003575,not spam
9837023928,not spam
7214562992,spam
7537190997,spam
6243008759,not spam
6572265874,spam
9611850658,spam
9868502724,spam
7210987463,not spam
6001840787,not spam
7388680684,not spam
9408580824,spam
8126851046,spam
7571883841,not spam
8554342157,not spam
7251223687,not spam
9125299970,spam
8234254919,not spam
6916116605,spam
7591279799,not spam
7520086172,not spam
7345737831,not spam
6769834783,not spam
8858047375,spam
6215284837,spam
7427967313,not spam
8860387367,not spam
9618889660,not spam
7648119925,not spam
6318314083,not spam
8080907633,not spam
7906540595,spam
8885912884,not spam
7670287542,spam
6277677967,spam
9421662213,not spam
8339093869,not spam
7083990656,not spam
8921255732,spam
9257829620,not spam
7647771187,spam
7682677534,spam
6052965386,not spam
6617311863,not spam
6126093413,not spam
8115470612,spam
7105460531,spam
9485993718,not spam
8980580144,not spam
7098766960,spam
8231139188,not spam
9392420432,not spam
8526057331,not spam
9011595110,spam
8845308643,not spam
6107573016,spam
7628402636,spam
6875978755,not spam
8011825056,not spam
8821685686,spam
7184665747,not spam
6573110819,not spam
9658866178,not spam
9683420175,not spam
8118733817,spam
6299329193,spam
8988317046,not spam
7433622816,not spam
9667080715,not spam
8369062635,spam
6982384472,not spam
6912713834,not spam
7048327598,spam
8823171113,spam
6826181343,not spam
9439737764,spam
6960518196,not spam
9825689697,not spam
7931508982,not spam
9991721438,spam
9789388087,spam
8967393690,not spam
8588520635,not spam
7476908792,not spam
9268336573,spam
9302470579,not spam
7903704104,not spam
6376691306,not spam
8071205928,not spam
6524185929,not spam
6932142561,not spam
7934196264,not spam
8916595386,spam
9998611503,not spam
9593051274,spam
6903552848,spam
6978526254,spam
8549406921,not spam
9887450290,not spam
7678459856,not spam
8439868876,not spam
6443984748,not spam
6671251013,not spam
7597132469,not spam
9258281247,not spam
7312257718,spam
8464440444,spam
8298935499,not spam
8697080539,not spam
9900496642,spam
8625698500,not spam
7283220138,spam
7940994152,spam
9622909004,not spam
8776356939,spam
9652836932,spam
9900692791,spam
7436534091,not spam
6485429196,not spam
9850439292,spam
7556528408,not spam
6717936263,spam
9548669830,not spam
9823437808,not spam
7318214347,spam
9231271865,spam
7544828314,not spam
9038854696,spam
8572444139,not spam
8693503209,not spam
8916223900,not spam
8868510716,not spam
8254894834,not spam
7732338966,not spam
7625563746,not spam
7915242030,not spam
7282840153,not spam
7653931876,not spam
8257159570,not spam
6979509466,spam
6025331688,not spam
7789467732,not spam
9883511072,not spam
6182267919,spam
9158816817,not spam
8464269988,not spam
9895329681,not spam
8646340150,not spam
7918035988,not spam
7406452163,spam
9435563217,not spam
6945820135,not spam
6211416981,not spam
6169016761,not spam
8889226801,not spam
8175810801,spam
8649198248,spam
7156218864,not spam
8265705190,spam
8215518238,not spam
8029708814,not spam
8667300088,spam
7407437263,not spam
6942124071,spam
9654344621,not spam
8404668766,not spam
8771402501,not spam
9846192061,not spam
7114521712,not spam
6697878680,not spam
7761424935,spam
8197412399,not spam
6848927226,not spam
9024053711,spam
9484303450,spam
9972262757,spam
7074350692,spam
7997822951,not spam
8050693629,spam
7534672010,not spam
6449086473,not spam
7978934706,not spam
6218428478,not spam
6641638384,spam
9777884026,not spam
7531301026,not spam
8418141882,not spam
7364550121,not spam
8624917029,not spam
6015877791,not spam
7981156652,spam
8731188755,not spam
6391669886,spam
7593310881,spam
7438794729,spam
7395467309,not spam
7274642162,not spam
9184887641,not spam
8809449855,not spam
8309850943,not spam
6979749037,not spam
9308642954,not spam
9412234527,not spam
9475176447,not spam
9429285402,spam
8679265391,not spam
8379616838,spam
7240294142,not spam
9755820212,not spam
8008156657,not spam
8405250535,not spam
6760652380,not spam
9222606224,spam
8442946956,not spam
8043615155,not spam
6720713457,spam
8636897341,spam
8082434369,not spam
9008124144,spam
8933184277,spam
7597494564,not spam
8219389086,spam
6145958676,not spam
7215316790,not spam
9039681876,not spam
6017754950,spam
8162431620,not spam
9343453495,spam
6838752220,not spam
7888295348,not spam
6171958037,not spam
6338131542,spam
7006170552,not spam
8459137519,not spam
9623071541,spam
8388601789,not spam
7296743341,spam
7305368741,not spam
6024308229,not spam
9374703902,not spam
6070658133,spam
6386877354,not spam
6374699641,not spam
9381537013,not spam
6320781645,spam
7733751388,spam
8283187038,not spam
8314563571,spam
6526749172,not spam
7663404631,not spam
6717749009,spam
6362857458,not spam
9691773151,not spam
7285246524,not spam
7752111462,spam
6120620205,not spam
6603683638,not spam
8304095709,not spam
6103211006,spam
7484495256,not spam
8384344937,not spam
6555821695,not spam
9465426763,spam
8914976375,not spam
7298403462,not spam
6558356585,not spam
6458949353,not spam
8401118836,not spam
8908537979,not spam
9543498041,not spam
7157780615,spam
9423332220,spam
9324990870,not spam
8050549633,not spam
6248079023,not spam
6723015431,not spam
8145878424,spam
8172947181,not spam
6093901725,spam
7765535609,not spam
6286650799,not spam
9299339157,not spam
8755478365,not spam
8293681513,not spam
6960120809,not spam
7308467668,not spam
9452997293,not spam
7964867165,not spam
6629598163,not spam
7102709368,not spam
6256573234,not spam
9419119190,not spam
6732719868,not spam
8601703296,not spam
9154814963,not spam
6363104307,not spam
6390923128,not spam
7837647005,not spam
8758294117,not spam
8757718101,not spam
6869500307,spam
7832236543,not spam
6516905287,not spam
6959017827,not spam
8189983742,spam
9620912564,not spam
7384137906,spam
7797103845,not spam
6904733714,not spam
9521498309,not spam
8066484520,not spam
8745176295,not spam
9207806654,spam
6063189450,not spam
7292834096,not spam
6057708560,not spam
8020386802,not spam
6440452351,not spam
7811177003,not spam
9290020939,not spam
7941437367,not spam
7854698879,spam
9422094280,spam
8398590399,not spam
7796112521,not spam
9031145636,not spam
9150276296,spam
9608243243,not spam
9117272080,spam
8305906052,spam
6347984330,spam
6861104840,not spam
9873904527,not spam
9975666550,spam
8165268254,not spam
8487306098,not spam
9323148879,not spam
6572821589,not spam
6051474062,spam
8297016562,not spam
6010750410,spam
8037786395,not spam
7332793287,spam
8765544449,not spam
9116165457,not spam
9721976556,not spam
8010562283,not spam
8569218410,spam
7186997990,spam
6959597897,not spam
6872107981,not spam
9747088118,not spam
8040088277,spam
6062069416,not spam
7397241808,not spam
8230738339,not spam
6569371263,spam
9465011225,not spam
9480315923,not spam
7596869589,spam
6551565697,spam
7407480162,not spam
9965077631,not spam
6652689626,not spam
9419579062,not spam
8282256137,spam
8833149164,spam
7090599610,not spam
7944029109,spam
6749155078,not spam
8794168175,spam
9077989851,not spam
6385660788,not spam
6722989003,not spam
6731386349,spam
8117060992,spam
7319982587,not spam
8008859413,not spam
7108173226,not spam
9765230859,not spam
9493250348,not spam
8664592832,not spam
6787443467,not spam
8379115797,spam
8876028600,not spam
9170983953,not spam
9040242854,not spam
6949222771,not spam
9777717317,spam
6406335716,not spam
9435295033,spam
7680573860,not spam
7178504596,not spam
7370084240,spam
8146904816,spam
7013403549,spam
6644171320,not spam
8025991833,not spam
9423725566,not spam
6741920089,not spam
8798239408,not spam
6343550821,not spam
7210720384,not spam
9149302470,not spam
8396085420,spam
7957236379,not spam
6345509596,not spam
6152617131,not spam
6879342170,not spam
7780412035,not spam
8068570352,not spam
9670192753,not spam
8130803913,spam
8127811822,spam
9405648756,not spam
6280029891,not spam
8088886572,not spam
6694555063,spam
7799133610,spam
6846959944,not spam
9433823438,not spam
7893447814,not spam
6717095436,spam
8814836440,not spam
6464503494,not spam
8637470858,not spam
7157033102,not spam
6675138957,not spam
6882665350,not spam
7346383916,not spam
9831552868,not spam
7805258403,not spam
7260938510,spam
7532225836,not spam
7870671571,spam
8634583587,spam
8092774415,spam
7417541631,not spam
9982363698,not spam
9453357899,not spam
8611766299,not spam
6342064219,not spam
9332309370,spam
8459058237,not spam
9282130563,not spam
8252048497,spam
8147441619,spam
7445235016,not spam
6047955894,not spam
6172223090,spam
7906664566,spam
7225215946,not spam
6654224024,not spam
9366388988,not spam
7087392430,not spam
9660376404,spam
6092155730,not spam
6820560801,not spam
7355514250,not spam
9001168266,not spam
9510200261,not spam
8193038511,spam
9377370994,not spam
8311475215,not spam
7587580718,not spam
6495819756,not spam
9479781461,not spam
7689555091,spam
6967908673,not spam
8314057894,spam
9810207119,spam
7992943365,not spam
6380271778,not spam
6830849471,not spam
9483765150,spam
8675515491,not spam
6000439370,not spam
7947212438,spam
8786362665,not spam
6526650821,not spam
9193316028,spam
7671517774,spam
7033966420,not spam
9766732385,not spam
8268112905,not spam
6670759732,not spam
6579367086,not spam
9991684710,not spam
8142907094,spam
7260970258,spam
7532420345,not spam
9751856756,spam
8651010161,not spam
6690316617,not spam
9189653037,not spam
9304834916,not spam
7217676422,spam
6387861264,not spam
8761063154,not spam
9582494603,not spam
9253458382,not spam
6814732127,not spam
8021830722,not spam
9641625740,not spam
6919582927,spam
9929858304,spam
6937846749,not spam
7820324970,not spam
6942618159,not spam
7071807989,spam
7272769186,spam
9754143655,not spam
9340885798,not spam
8502366454,not spam
8846764065,not spam
6812533919,not spam
8563991595,not spam
9195960810,spam
8792364940,not spam
7384131023,not spam
9898183332,not spam
8349157545,not spam
8963747400,not spam
6697188921,not spam
6343903910,not spam
8859774274,not spam
8887422330,not spam
9384371745,not spam
6084001494,not spam
6168142149,spam
8318524959,not spam
9746940714,not spam
7797499171,not spam
9559323532,not spam
6688385235,spam
6956324715,not spam
7554787287,spam
7346612339,spam
8564151165,spam
6733356488,spam
8956970214,not spam
9194086219,not spam
9340700969,not spam
8145987333,spam
7581143897,not spam
6277011358,spam
6497320909,not spam
6448468413,spam
9178040992,spam
7400155967,spam
9540004705,not spam
9762540082,not spam
9863420700,not spam
6869001966,not spam
9380476636,not spam
7849854602,not spam
8087190230,not spam
8219639907,spam
8146445862,spam
8449337645,not spam
7252060188,not spam
8054183623,spam
6570570676,spam
6117120809,not spam
7956736595,not spam
9978160911,spam
8342189251,not spam
8939770929,not spam
8918534620,not spam
9497456613,spam
8909438303,not spam
6466977274,spam
9814683957,not spam
8853788766,not spam
7638185137,spam
6642487058,not spam
9487618131,spam
6498785849,spam
9173654960,spam
9452897466,spam
7725210415,not spam
9098078696,not spam
6464602466,not spam
6230490193,not spam
9688104678,not spam
6821974550,not spam
8329363860,spam
8366841992,not spam
9384499062,not spam
8923787687,not spam
9981118210,not spam
8612723576,not spam
6388087735,not spam
8139817229,not spam
8015688075,not spam
6841501289,spam
6292862758,not spam
9308576183,spam
9120496263,not spam
6710849690,not spam
9091744841,not spam
9610861530,not spam
6000124424,not spam
9660135421,spam
7390019703,spam
8948146001,spam
6696314351,not spam
7797207532,not spam
8400672718,not spam
7251776074,not spam
9647889304,not spam
9490379988,not spam
7054930488,not spam
9648694022,spam
9595100374,not spam
6308744522,not spam
6536003256,not spam
6881535787,not spam
6132864541,not spam
8178860508,not spam
6216876758,not spam
6435723414,not spam
7871493822,spam
8885378662,not spam
9625539001,not spam
7486939589,not spam
6499923475,spam
9428218667,not spam
6972425134,spam
8901331636,not spam
8248067306,not spam
6751865052,not spam
9750862543,spam
6313186630,not spam
8976219544,not spam
7304209114,not spam
8684148762,not spam
9439299164,spam
9250013520,not spam
8882957796,not spam
9276633494,spam
9610479755,not spam
6328257440,spam
8495546586,not spam
7659383892,not spam
8737843348,spam
7296572765,not spam
9603356236,not spam
9420567562,spam
7606423775,spam
9060464490,not spam
6365759827,spam
9332945174,not spam
8787166631,not spam
8924814554,spam
7405594037,not spam
7529112290,not spam
8326684908,spam
7494659415,not spam
7730566911,spam
9273449604,not spam
6152368690,spam
9472212315,not spam
8684316734,not spam
7122502771,spam
6740256602,not spam
8187738463,not spam
8661160628,not spam
6003737631,not spam
9955976030,not spam
9808176342,not spam
6266627761,not spam
6747921670,not spam
7902389145,not spam
7929356647,not spam
8986818831,not spam
9940398785,not spam
9959158132,not spam
6083079193,not spam
6514888046,not spam
7782629417,not spam
7188651739,spam
9694405981,not spam
7787883562,not spam
7238535091,not spam
6859536592,not spam
9684846180,not spam
6217879249,not spam
8737661926,not spam
6358743738,not spam
6079366677,spam
7733559008,not spam
9267308111,spam
8068141590,not spam
6762693959,not spam
8552357133,spam
7199717721,spam
9081375444,spam
8111832737,not spam
8684387631,spam
8276694716,not spam
9660198267,spam
6016947049,not spam
8175648335,not spam
7511079029,not spam
8885095207,not spam
7160498253,not spam
7030233676,not spam
9692744807,not spam
8347979366,not spam
7027274282,not spam
7611751329,not spam
8467535956,not spam
9233768740,spam
9061239582,not spam
8631552473,not spam
6669572369,not spam
9648187070,not spam
6802688135,not spam
9792861953,not spam
9071057871,not spam
9037275412,spam
7233303223,not spam
9624272046,not spam
7626246420,spam
8579141570,not spam
8284811843,not spam
8861620236,not spam
7067618126,spam
9954033020,spam
8659513821,spam
6093488600,not spam
9867815566,spam
6044035975,not spam
6262433182,not spam
6489543625,spam
8834640024,not spam
9666926304,spam
8023542797,not spam
9843393097,not spam
8026343298,spam
7412129408,not spam
7326621131,not spam
9851639969,not spam
7566234152,spam
7085689291,not spam
9573562069,spam
6809428608,spam
8699270990,not spam
7648510969,not spam
9694367945,not spam
9669666069,not spam
6459004792,not spam
8624962886,spam
8744721233,not spam
6139480092,not spam
8516688668,not spam
7113673609,not spam
8680282973,not spam
8936644754,not spam
7614720325,not spam
9837907727,spam
6057696789,not spam
7089884961,not spam
7757026069,not spam
8384175706,spam
8198919205,not spam
6252728635,spam
6869614662,not spam
7030742122,not spam
7416930657,not spam
7245246192,not spam
8830380622,not spam
7741271252,spam
7939429716,spam
9701690993,not spam
9264123510,spam
8519439065,spam
8897415206,not spam
7843908223,spam
8711753392,not spam
8454016658,not spam
7767594198,spam
9707879843,not spam
6019319589,spam
7192255661,spam
6985960118,not spam
9966466436,not spam
7919575369,not spam
6096613579,not spam
6546225798,not spam
7746310384,not spam
7294638702,not spam
9295302693,not spam
8782194416,spam
7938680137,not spam
7311814531,not spam
8398702751,not spam
6119192399,spam
6736814269,not spam
9215397929,not spam
6659002798,spam
8882359417,not spam
8873809965,not spam
9579336169,not spam
9695791904,not spam
6430167633,spam
7033020440,not spam
7190871391,not spam
9544053744,not spam
7525704956,spam
7216713773,not spam
7947541333,spam
7734592238,not spam
7629335517,spam
8468503071,spam
9104243189,not spam
8009212104,spam
6671477587,not spam
8958779301,not spam
8733603171,not spam
9636276488,spam
8659760668,not spam
7726678793,spam
7992878143,not spam
8407309922,not spam
8521209695,spam
6380440446,not spam
8307343289,not spam
9037143228,spam
7540208534,not spam
7326604252,not spam
6605637992,spam
6440321782,spam
7721860141,not spam
6750723302,spam
9939423805,spam
7152766833,spam
9656729664,not spam
7688722264,not spam
8854837930,spam
6345680368,spam
7322654258,spam
6020799984,not spam
6499983020,not spam
7215573486,spam
8886070873,not spam
6628294866,not spam
9659423752,not spam
6316883614,spam
9619461274,not spam
9282557586,not spam
7915900395,not spam
6960660065,not spam
6538097158,not spam
6084766092,spam
6179877397,not spam
8219268565,not spam
8095330446,not spam
8797794542,spam
9175988481,not spam
8433791365,spam
6198168060,not spam
9813783010,not spam
8883753206,not spam
8542782133,not spam
8521084025,spam
9081197924,not spam
7763797246,spam
7657976869,not spam
6267855727,spam
6731725321,not spam
7143245054,not spam
9367228603,not spam
6364916311,spam
7251161568,not spam
9885370807,spam
6795760919,not spam
7534095907,not spam
9982272914,not spam
7283885361,not spam
8100793432,not spam
7743478336,not spam
8707313144,spam
8057294154,not spam
8854693659,not spam
6689468892,not spam
9715482611,not spam
8463370787,not spam
8189794319,not spam
9921984991,spam
6319614017,not spam
6046697950,spam
8942208204,not spam
9618354464,spam
6712251319,not spam
9105777488,not spam
7759791585,spam
8839978469,spam
6351056636,spam
9880369769,spam
6770713127,not spam
8414373697,not spam
6252478477,not spam
9114755652,spam
6090064419,not spam
9954626173,not spam
7200305209,not spam
7360518855,spam
7052339829,spam
9402443553,not spam
